Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,topics
política,gobierno,país,presidente,nacional,pueblo,ciudadano,social,vida,méxico,mundo,económico,internacional,apoyo,colombia,colombiano,acción,crisis,política,partido,paz,gobierno país presidente nacional pueblo ciudadano social vida méxico mundo económico internacional apoyo colombia colombiano acción crisis política partido paz
protección de animales,animal,maltrato_animal,maltrato,sufrimiento,vida,veterinario,espectáculo,bienestar,humano,abandonado,protección_animal,morir,especie,toro,muerte,jaula,refugio,vivo,sufrir,abandono,animal maltrato_animal maltrato sufrimiento vida veterinario espectáculo bienestar humano abandonado protección_animal morir especie toro muerte jaula refugio vivo sufrir abandono
educación,centro,educación,educativo,colegio,escuela,aula,docente,infantil,alumno,curso,alumnado,escolar,público,ceip,enseñanza,plaza,calidad,profesorado,andalucía,comunidad,centro educación educativo colegio escuela aula docente infantil alumno curso alumnado escolar público ceip enseñanza plaza calidad profesorado andalucía comunidad
educación,universidad,estudiante,universitario,examen,estudio,carrera,académico,docente,estudiantil,estudiar,semestre,virtual,facultad,descuento,beca,rector,económico,acceso,prueba,institución,universidad estudiante universitario examen estudio carrera académico docente estudiantil estudiar semestre virtual facultad descuento beca rector económico acceso prueba institución
salud,enfermedad,tratamiento,médico,medicamento,vida,paciente,salud,cáncer,dolor,padecer,ayuda,sufrir,crónico,medicación,calidad_vida,investigación,enfermo,diagnóstico,vivir,discapacidad,enfermedad tratamiento médico medicamento vida paciente salud cáncer dolor padecer ayuda sufrir crónico medicación calidad_vida investigación enfermo diagnóstico vivir discapacidad
protección de animales,perro,dueño,raza,jugar,viajar,propietario,pasear,calle,veterinario,molestar,atado,multa,perrera,animal_compañía,policía,casa,habilitado,convivencia,prohibido,abandono,perro dueño raza jugar viajar propietario pasear calle veterinario molestar atado multa perrera animal_compañía policía casa habilitado convivencia prohibido abandono
justicia económica,pagar,pago,autónomo,cuota,ayuda,alquiler,familia,impuesto,hipoteca,banco,dinero,económico,crisis,vivienda,gasto,negocio,luz,casa,deuda,coronavirus,pagar pago autónomo cuota ayuda alquiler familia impuesto hipoteca banco dinero económico crisis vivienda gasto negocio luz casa deuda coronavirus
derechos de la mujer,mujer,violencia,género,sexual,víctima,igualdad,machista,vida,justicia,madre,pareja,sociedad,sufrir,violación,acoso,sexo,niña,hija,joven,denuncia,mujer violencia género sexual víctima igualdad machista vida justicia madre pareja sociedad sufrir violación acoso sexo niña hija joven denuncia
vida local,ciudad,ayuntamiento,vecino,calle,municipio,municipal,barrio,pueblo,árbol,plaza,barcelona,alcalde,ciudadano,vivienda,obra,servicio,público,urbano,vehículo,construcción,ciudad ayuntamiento vecino calle municipio municipal barrio pueblo árbol plaza barcelona alcalde ciudadano vivienda obra servicio público urbano vehículo construcción
covid19,covid-19,coronavirus,contagio,salud,riesgo,virus,mascarilla,casa,seguridad,pandemia,población,confinamiento,cuarentena,protección,contagiar,alarma,distancia,prueba,residencia,propagación,covid 19 coronavirus contagio salud riesgo virus mascarilla casa seguridad pandemia población confinamiento cuarentena protección contagiar alarma distancia prueba residencia propagación
política,político,sueldo,diputado,ciudadano,dinero,elección,senador,salario,partido,dieta,congreso,pueblo,pensión,votar,electoral,politico,público,crisis,gasto,pagar,político sueldo diputado ciudadano dinero elección senador salario partido dieta congreso pueblo pensión votar electoral politico público crisis gasto pagar
turismo,playa,mar,costa,arena,acceso,turismo,baño,hotel,isla,ayuntamiento,turístico,puerto,turista,temporada,cádiz,naturaleza,deporte,molestar,marino,visitante,playa mar costa arena acceso turismo baño hotel isla ayuntamiento turístico puerto turista temporada cádiz naturaleza deporte molestar marino visitante
derecho del niño,niño,hijo,padre,familia,colegio,madre,niña,casa,hija,infantil,adulto,familiar,comedor,derecho,vivir,bebé,pediatra,sufrir,jugar,vida,niño hijo padre familia colegio madre niña casa hija infantil adulto familiar comedor derecho vivir bebé pediatra sufrir jugar vida
salud,hospital,paciente,servicio,enfermo,televisión,urgencia,gratuito,ingresado,cama,gratis,hospitalario,centro,uci,público,habitación,privado,sanidad,aislado,médico,familiar,hospital paciente servicio enfermo televisión urgencia gratuito ingresado cama gratis hospitalario centro uci público habitación privado sanidad aislado médico familiar
educación,clase,alumno,curso,profesor,presencial,examen,online,virtual,aula,bachillerato,instituto,mixto,alumnado,colegio,evaluación,temario,internet,enseñanza,profesorado,reducción,clase alumno curso profesor presencial examen online virtual aula bachillerato instituto mixto alumnado colegio evaluación temario internet enseñanza profesorado reducción
salud,sanitario,profesional,médico,sanidad,sanidad_público,paciente,emergencia,centro_salud,salud,enfermería,enfermera,servicio,urgencia,primario,protección,pandemia,técnico,profesión,labor,auxiliar,sanitario profesional médico sanidad sanidad_público paciente emergencia centro_salud salud enfermería enfermera servicio urgencia primario protección pandemia técnico profesión labor auxiliar
