Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,topics
Politique,pays,peuple,droit,monde,international,gouvernement,état,politique,liberté,europe,européen,nation,afrique,citoyen,guerre,national,droit_homme,population,paix,africain,pays peuple droit monde international gouvernement état politique liberté europe européen nation afrique citoyen guerre national droit_homme population paix africain
Education,classe,élève,effectif,rentrée,maternelle,parent_élève,école_maternelle,enseignant,surcharger,enseignement,enfant,apprentissage,inspection_académique,école_élémentaire,mobiliser,éducation_national,accueil,académique,difficulté,pédagogique,classe élève effectif rentrée maternelle parent_élève école_maternelle enseignant surcharger enseignement enfant apprentissage inspection_académique école_élémentaire mobiliser éducation_national accueil académique difficulté pédagogique
Protection Animale,animal,maltraitance,souffrance,cruauté,humain,élevage,abattoir,tuer,cheval,protection_animal,refuge,maltraiter,viande,loi,espèce,acte,pauvre,animal_compagnie,homme,abandon,animal maltraitance souffrance cruauté humain élevage abattoir tuer cheval protection_animal refuge maltraiter viande loi espèce acte pauvre animal_compagnie homme abandon
Protection Animale,chien,propriétaire,maître,parc,canin,refuge,vétérinaire,chiot,race,spa,voisin,promener,plage,compagnon,patte,ami,euthanasie,pauvre,interdire,récupérer,chien propriétaire maître parc canin refuge vétérinaire chiot race spa voisin promener plage compagnon patte ami euthanasie pauvre interdire récupérer
Droit de l’enfance,enfant,parent,famille,scolaire,handicap,mère,maman,adulte,père,fils,fille,handicapé,parent_enfant,cantine,crèche,scolariser,enfance,vivre,droit,port_masque,enfant parent famille scolaire handicap mère maman adulte père fils fille handicapé parent_enfant cantine crèche scolariser enfance vivre droit port_masque
Vie Locale,ville,association,lieu,mairie,place,local,culturel,commerce,logement,municipal,patrimoine,culture,centre,centre-ville,bâtiment,public,maison,citoyen,artiste,municipalité,ville association lieu mairie place local culturel commerce logement municipal patrimoine culture centre bâtiment public maison citoyen artiste municipalité
Education,élève,collège,lycée,professeur,établissement,enseignant,enseignement,scolaire,cours,poste,bac,épreuve,rentrée,parent_élève,éducation,éducation_national,rectorat,réforme,parent,baccalauréat,élève collège lycée professeur établissement enseignant enseignement scolaire cours poste bac épreuve rentrée parent_élève éducation éducation_national rectorat réforme parent baccalauréat
Santé,santé,hôpital,patient,médecin,soin,médical,maladie,soignant,traitement,malade,infirmier,urgence,soigner,médicament,professionnel,public,hospitalier,médecine,lit,centre,santé hôpital patient médecin soin médical maladie soignant traitement malade infirmier urgence soigner médicament professionnel public hospitalier médecine lit centre
Protection Animale,chat,stérilisation,association,chat_errant,stériliser,chaton,refuge,vétérinaire,fourrière,spa,nourrir,campagne,protection_animal,abandonner,bénévole,libre,sauver,identifier,euthanasie,disparaître,chat stérilisation association chat_errant stériliser chaton refuge vétérinaire fourrière spa nourrir campagne protection_animal abandonner bénévole libre sauver identifier euthanasie disparaître
Education,école,scolaire,enseignant,parent_élève,poste,ecolé,éducation,public,rentrée,mairie,enseignement,parent,éducation_national,pédagogique,équipe,village,maternelle,apprentissage,directrice,sécurité,école scolaire enseignant parent_élève poste ecolé éducation public rentrée mairie enseignement parent éducation_national pédagogique équipe village maternelle apprentissage directrice sécurité
